outflow,time,size,area,rho
4,107,230,32,0.75
0,1,1,3,0.78125
0,26,36,9,0.8125
1,70,98,31,0.8125
0,30,54,12,0.84375
0,0,0,1,0.875
2,1,1,1,0.84375
0,6,10,7,0.875
4,117,351,32,0.78125
0,0,0,1,0.8125
0,4,4,6,0.84375
0,2,2,3,0.875
2,159,237,32,0.84375
0,1,1,3,0.875
2,186,412,31,0.84375
0,1,1,3,0.875
0,24,24,6,0.90625
2,5,5,4,0.875
4,54,134,29,0.78125
0,6,6,6,0.8125
1,45,86,17,0.8125
2,49,76,11,0.78125
1,41,60,15,0.78125
0,13,20,8,0.8125
0,11,11,7,0.84375
0,2,2,3,0.875
0,0,0,1,0.90625
4,134,396,32,0.8125
0,7,8,5,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
2,23,44,14,0.875
2,5,5,6,0.84375
0,84,194,23,0.875
2,52,88,27,0.84375
0,9,10,6,0.875
2,56,95,16,0.84375
2,3,3,4,0.8125
0,0,0,1,0.84375
1,63,169,31,0.84375
1,26,28,10,0.84375
0,169,399,27,0.875
0,6,10,7,0.90625
0,135,290,25,0.9375
2,20,30,11,0.90625
6,117,317,32,0.75
0,0,0,1,0.78125
0,2,2,3,0.8125
0,0,0,1,0.84375
0,0,0,1,0.875
2,69,147,16,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
2,128,275,25,0.875
2,6,9,6,0.84375
1,47,107,18,0.84375
0,2,2,3,0.875
0,8,10,5,0.90625
2,51,96,13,0.875
6,69,202,32,0.71875
0,1,1,3,0.75
0,39,59,11,0.78125
0,0,0,1,0.8125
0,42,52,16,0.84375
0,50,67,13,0.875
0,0,0,1,0.90625
4,156,485,32,0.8125
0,21,21,9,0.84375
2,3,3,2,0.8125
0,130,270,27,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
2,143,274,31,0.875
2,64,105,15,0.84375
0,18,20,8,0.875
1,29,64,14,0.875
0,109,204,16,0.90625
1,2,2,2,0.90625
0,152,351,30,0.9375
2,26,33,10,0.90625
2,114,349,31,0.875
1,1,1,2,0.875
0,108,227,23,0.90625
0,138,324,28,0.9375
5,203,380,32,0.8125
0,0,0,1,0.84375
0,74,82,18,0.875
0,0,0,1,0.90625
0,0,0,1,0.9375
4,113,197,19,0.84375
3,76,240,27,0.78125
0,9,16,10,0.8125
0,44,68,14,0.84375
1,276,670,32,0.84375
1,26,50,14,0.84375
0,5,5,5,0.875
2,10,10,4,0.84375
0,112,212,18,0.875
0,0,0,1,0.90625
4,128,291,16,0.8125
0,46,51,11,0.84375
0,31,60,16,0.875
0,11,17,8,0.90625
0,33,56,12,0.9375
0,2,2,3,0.96875
3,119,307,21,0.90625
1,18,20,10,0.90625
1,29,42,19,0.90625
2,53,78,16,0.875
0,94,187,25,0.90625
0,33,44,13,0.9375
2,40,52,9,0.90625
1,1,1,2,0.90625
3,90,237,19,0.84375
0,10,10,7,0.875
2,130,279,26,0.84375
0,9,11,11,0.875
3,44,52,10,0.8125
0,121,243,27,0.84375
0,11,11,7,0.875
0,24,29,12,0.90625
0,7,7,7,0.9375
5,266,690,32,0.8125
3,88,224,27,0.75
0,0,0,1,0.78125
0,26,48,13,0.8125
0,15,24,7,0.84375
1,105,174,17,0.84375
2,7,13,8,0.8125
0,4,4,6,0.84375
1,37,66,11,0.84375
0,0,0,1,0.875
1,10,10,4,0.875
4,108,262,32,0.78125
0,0,0,1,0.8125
1,114,209,28,0.8125
0,41,59,13,0.84375
2,30,40,17,0.8125
0,21,21,10,0.84375
0,0,0,1,0.875
2,8,9,8,0.84375
0,2,2,3,0.875
1,129,362,32,0.875
1,65,110,21,0.875
0,2,2,3,0.90625
0,18,18,9,0.9375
0,0,0,1,0.96875
2,6,6,5,0.9375
6,84,238,32,0.78125
0,0,0,1,0.8125
2,40,70,19,0.78125
1,57,102,27,0.78125
0,0,0,1,0.8125
0,0,0,1,0.84375
0,6,6,7,0.875
2,131,294,27,0.84375
4,76,127,24,0.75
0,0,0,1,0.78125
0,0,0,1,0.8125
0,7,7,6,0.84375
0,0,0,1,0.875
0,2,2,3,0.90625
4,72,155,30,0.8125
0,34,58,13,0.84375
0,0,0,1,0.875
2,9,9,7,0.84375
0,10,14,7,0.875
1,118,174,25,0.875
2,138,278,30,0.84375
0,22,32,14,0.875
2,7,10,6,0.84375
0,92,212,28,0.875
0,47,80,16,0.90625
3,254,647,31,0.84375
0,8,10,4,0.875
3,8,11,6,0.8125
0,0,0,1,0.84375
0,0,0,1,0.875
0,0,0,1,0.90625
6,146,460,32,0.75
0,57,87,16,0.78125
0,149,273,18,0.8125
0,25,70,23,0.84375
0,0,0,1,0.875
0,1,1,3,0.90625
2,9,9,5,0.875
1,25,42,11,0.875
0,29,50,13,0.90625
3,131,271,19,0.84375
0,27,27,11,0.875
0,16,24,10,0.90625
0,0,0,1,0.9375
3,142,293,24,0.875
2,36,62,17,0.84375
0,20,22,10,0.875
1,3,4,3,0.875
3,95,193,32,0.8125
0,0,0,1,0.84375
0,19,21,7,0.875
2,11,13,8,0.84375
0,0,0,1,0.875
2,76,147,28,0.84375
0,80,186,18,0.875
3,13,22,8,0.8125
0,2,2,4,0.84375
2,79,168,22,0.8125
0,71,133,21,0.84375
0,57,101,19,0.875
